Date,Open,High,Low,Close,Adj Close,Volume
2017-06-06,130.179993,131.330002,130.029999,130.830002,116.184418,5619092
2017-06-07,131.000000,131.479996,130.580002,130.750000,116.113396,5765471
2017-06-08,131.000000,131.399994,129.960007,130.550003,115.935768,8101669
2017-06-09,130.369995,131.699997,130.309998,131.529999,116.806046,5993031
2017-06-12,131.639999,132.039993,131.089996,131.820007,117.063599,8020951
2017-06-13,131.750000,132.729996,131.399994,132.020004,117.241196,5733704
2017-06-14,132.509995,133.559998,132.509995,132.770004,117.907249,7329276
2017-06-15,132.000000,133.350006,131.804993,133.039993,118.146996,5264953
2017-06-16,133.720001,134.604996,133.039993,134.350006,119.310402,12639615
2017-06-19,134.149994,134.679993,133.490005,134.070007,119.061737,7488704
2017-06-20,133.899994,134.755005,133.899994,134.220001,119.194946,5201174
2017-06-21,134.289993,135.110001,134.020004,134.910004,119.807701,5840673
2017-06-22,135.449997,137.000000,135.270004,136.050003,120.820068,7311037
2017-06-23,135.449997,136.509995,135.320007,136.429993,121.157532,9006777
2017-06-26,136.479996,136.899002,136.199997,136.339996,121.077583,5561844
2017-06-27,136.500000,136.729996,134.990005,135.009995,119.896500,6120501
2017-06-28,135.949997,136.199997,133.570007,133.820007,118.839722,6557846
2017-06-29,133.399994,133.727600,132.309998,132.639999,117.791779,5749927
2017-06-30,132.699997,133.199997,132.279999,132.289993,117.480980,5264416
2017-07-03,132.789993,133.320007,132.649994,132.899994,118.022690,2930998
2017-07-05,132.979996,134.059998,132.419998,133.639999,118.679840,4302669
2017-07-06,133.610001,133.970001,132.404999,132.520004,117.685234,4282214
2017-07-07,132.910004,133.000000,131.690002,132.539993,117.702995,4994023
2017-07-10,132.740005,132.869995,131.229996,131.550003,116.823822,4019557
2017-07-11,131.429993,131.789993,130.479996,131.229996,116.539658,3733048
2017-07-12,132.039993,132.889999,131.770004,132.229996,117.427704,5053143
2017-07-13,132.100006,132.220001,130.990005,131.860001,117.099121,4424422
2017-07-14,132.000000,133.000000,131.740005,132.600006,117.756302,4383107
2017-07-17,132.710007,132.929993,131.750000,132.149994,117.356636,4937494
2017-07-18,131.619995,134.949997,131.080093,134.460007,119.408066,10255935
2017-07-19,134.839996,135.410004,134.520004,135.210007,120.074142,5344484
2017-07-20,135.729996,137.080002,135.619995,136.570007,121.281891,6088512
2017-07-21,135.330002,136.270004,135.100006,135.309998,120.162933,6773462
2017-07-24,134.990005,135.160004,132.850006,133.009995,118.120377,8306444
2017-07-25,133.740005,133.849899,131.449997,131.880005,117.116905,6262907
2017-07-26,131.660004,132.240005,130.750000,130.949997,116.290977,5382162
2017-07-27,130.850006,131.149994,129.571106,130.830002,116.184418,5838090
2017-07-28,131.139999,131.990005,130.520004,131.850006,117.090248,4970860
2017-07-31,132.139999,133.580002,132.100006,132.720001,117.862862,5440788
2017-08-01,133.169998,133.350006,132.279999,132.509995,117.676369,3836290
2017-08-02,132.080002,132.500000,131.500000,132.160004,117.365517,4032147
2017-08-03,131.910004,133.399994,131.509995,133.350006,118.422356,4327239
2017-08-04,133.740005,134.009995,132.800003,133.179993,118.271339,3192805
2017-08-07,133.089996,133.479996,132.509995,132.860001,117.987198,3010654
2017-08-08,132.500000,132.800003,131.399994,132.270004,117.463234,5514761
2017-08-09,132.809998,133.410004,132.365005,133.229996,118.315773,6332347
2017-08-10,133.039993,133.850098,132.369995,133.089996,118.191437,5607853
2017-08-11,133.639999,134.490005,132.750000,133.100006,118.200310,4270571
2017-08-14,134.199997,134.369995,132.869995,133.479996,118.537788,3041064
2017-08-15,133.850006,133.940002,133.195007,133.380005,118.448959,3931763
2017-08-16,134.080002,134.970001,133.860001,134.169998,119.150536,4469937
2017-08-17,134.179993,134.740005,133.031403,133.039993,118.146996,5741249
2017-08-18,132.669998,133.779999,132.380997,132.630005,117.782936,4792746
2017-08-21,132.279999,133.649994,132.187500,133.449997,118.511154,4659963
2017-08-22,133.270004,134.789993,132.899994,134.699997,119.621193,4150282
2017-08-23,134.429993,134.490005,132.649994,132.800003,117.933899,5129938
2017-08-24,132.820007,133.080002,132.270004,132.889999,118.013802,5398232
2017-08-25,131.910004,132.559998,131.619995,131.679993,117.683128,4132544
2017-08-28,131.679993,132.119995,131.490005,131.740005,117.736771,5349081
2017-08-29,131.570007,132.449997,131.300003,132.210007,118.156815,3277875
2017-08-30,132.000000,132.000000,130.899994,131.070007,117.137985,5430016
2017-08-31,131.389999,132.500000,131.250000,132.369995,118.299812,7407143
2017-09-01,132.600006,132.649994,130.934998,131.029999,117.102242,3820314
2017-09-05,130.720001,131.179993,129.720001,129.899994,116.092361,5154898
2017-09-06,130.539993,131.000000,130.210007,130.669998,116.780510,5601887
2017-09-07,130.860001,132.520004,130.250000,132.190002,118.138931,3734027
2017-09-08,132.000000,132.339996,130.869995,130.979996,117.057533,4854414
2017-09-11,131.369995,133.339996,131.020004,133.210007,119.050514,5724183
2017-09-12,133.830002,133.880005,131.929993,132.630005,118.532173,5465190
2017-09-13,132.669998,133.746704,131.850006,132.449997,118.371300,4679486
2017-09-14,132.139999,134.470001,131.990005,134.179993,119.917419,6274120
2017-09-15,134.789993,135.449997,134.179993,134.449997,120.158707,15521711
2017-09-18,134.440002,135.770004,134.110001,135.380005,120.989845,5261393
2017-09-19,135.020004,135.789993,134.350006,135.220001,120.846870,4903828
2017-09-20,133.250000,134.289993,132.339996,133.220001,119.059471,8705460
2017-09-21,133.309998,133.820007,131.377502,131.750000,117.745720,6051799
2017-09-22,131.990005,132.389999,131.270096,131.389999,117.423996,4334763
2017-09-25,131.470001,131.759995,130.830002,131.169998,117.227371,6017418
2017-09-26,131.500000,131.940002,130.820007,130.940002,117.021805,4516193
2017-09-27,131.000000,131.089996,129.429993,129.750000,115.958282,5795956
2017-09-28,129.910004,130.270004,129.289993,129.470001,115.708061,3992591
2017-09-29,129.580002,130.470001,129.050003,130.009995,116.190651,5736570
2017-10-02,130.160004,131.330002,130.020004,131.220001,117.272034,4492526
2017-10-03,131.649994,132.399994,131.360001,132.100006,118.058510,3900754
2017-10-04,132.399994,133.179993,132.100006,132.889999,118.764511,3589047
2017-10-05,132.889999,133.309998,132.360001,133.190002,119.032654,3741083
2017-10-06,133.000000,133.250000,132.479996,133.220001,119.059471,2469473
2017-10-09,133.660004,133.815002,133.169998,133.449997,119.265030,3751097
2017-10-10,133.559998,134.130005,132.919998,133.899994,119.667168,4184588
2017-10-11,134.880005,137.080002,134.369995,136.649994,122.124886,8269430
2017-10-12,136.339996,137.520004,136.020004,136.830002,122.285736,5172806
2017-10-13,136.600006,137.419998,136.339996,136.429993,121.928246,4106625
2017-10-16,136.449997,137.259995,135.539993,136.119995,121.651192,5120140
2017-10-17,137.669998,141.119995,137.059998,140.789993,125.824783,11717348
2017-10-18,140.789993,141.580002,140.070007,140.679993,125.726479,6827734
2017-10-19,140.710007,142.979996,140.535004,142.039993,126.941910,9181291
2017-10-20,142.380005,143.619995,141.830002,142.399994,127.263672,5634523
2017-10-23,142.130005,144.352295,142.080994,143.619995,128.354004,6685964
2017-10-24,143.380005,143.380005,140.929993,141.639999,126.584457,6585767
2017-10-25,141.160004,143.229996,140.959396,142.360001,127.227928,6563580
2017-10-26,142.509995,143.750000,141.380005,141.809998,126.736412,5841067
2017-10-27,141.000000,142.699997,140.199997,141.779999,126.709557,5140654
2017-10-30,141.080002,141.210007,139.320007,140.000000,125.118813,6034336
2017-10-31,140.020004,140.259995,138.979996,139.410004,124.591507,4832136
2017-11-01,139.830002,140.589996,139.339996,139.979996,125.100914,5006771
2017-11-02,140.110001,140.289993,139.110001,139.929993,125.056206,3494055
2017-11-03,139.729996,140.399994,139.300003,140.080002,125.190277,2736951
2017-11-06,140.009995,140.490005,139.720001,139.759995,124.904297,4220666
2017-11-07,140.080002,140.149994,138.910004,139.770004,124.913223,4201853
2017-11-08,139.699997,141.869995,139.460098,141.320007,126.298477,4440729
2017-11-09,140.860001,141.410004,139.800003,140.350006,125.431602,3517130
2017-11-10,140.130005,140.130005,138.610001,139.559998,124.725510,4240786
2017-11-13,139.009995,140.020004,138.419998,139.759995,124.904297,4322275
2017-11-14,139.570007,140.284302,138.919998,139.490005,124.663002,4078239
2017-11-15,139.229996,139.830002,138.750000,139.100006,124.314468,4811462
2017-11-16,139.419998,139.679993,138.639999,138.869995,124.108902,4193806
2017-11-17,138.300003,138.860001,137.889999,138.000000,123.331352,4247381
2017-11-20,138.149994,138.559998,137.740005,137.929993,123.268799,4266264
2017-11-21,138.449997,139.259995,138.190002,138.339996,123.635239,5660581
2017-11-22,138.300003,138.380005,136.600006,137.289993,122.696823,3917467
2017-11-24,137.500000,138.380005,137.309998,138.009995,123.340317,2606832
2017-11-27,137.509995,138.309998,137.479996,138.100006,124.176529,3933071
2017-11-28,138.300003,140.529999,138.251694,140.020004,125.902977,5052825
2017-11-29,140.220001,140.630005,138.949997,139.809998,125.714096,5851449
2017-11-30,140.059998,140.279999,138.479996,139.330002,125.282524,8941892
2017-12-01,139.570007,140.529999,138.600006,139.979996,125.866997,5990487
2017-12-04,140.619995,141.500000,138.929993,139.009995,124.994759,5916688
2017-12-05,139.880005,140.809998,139.199997,139.669998,125.588226,6745335
2017-12-06,140.250000,141.960007,140.190002,141.059998,126.838120,5591702
2017-12-07,141.000000,141.498993,139.259995,140.009995,125.893951,4713177
2017-12-08,140.000000,140.759995,139.800003,140.589996,126.415489,5101341
2017-12-11,140.100006,141.169998,139.830002,141.139999,126.910049,4358620
2017-12-12,142.059998,143.570007,142.039993,142.600006,128.222855,8016720
2017-12-13,142.500000,143.429993,142.210007,142.889999,128.483597,6118375
2017-12-14,143.520004,143.619995,141.610001,141.649994,127.368622,5337934
2017-12-15,142.479996,143.139999,141.779999,142.460007,128.096985,12516980
2017-12-18,142.559998,143.800003,141.401001,141.800003,127.503487,5833232
2017-12-19,141.889999,142.380005,141.360001,141.779999,127.485504,6580136
2017-12-20,142.259995,142.580002,141.080002,141.160004,126.927994,6289782
2017-12-21,141.589996,142.169998,141.020004,141.059998,126.838120,6284711
2017-12-22,141.000000,141.350006,140.039993,140.119995,125.992859,4665587
2017-12-26,140.460007,140.539993,139.679993,140.089996,125.965897,3271087
2017-12-27,140.419998,141.149994,140.199997,140.570007,126.397537,3753629
2017-12-28,140.699997,141.000000,140.330002,140.559998,126.388527,2484959
2017-12-29,140.979996,141.207397,139.580002,139.720001,125.633224,4452924
2018-01-02,139.660004,139.949997,138.720001,139.229996,125.192612,6842124
2018-01-03,139.360001,140.679993,138.899994,140.559998,126.388527,5350496
2018-01-04,140.449997,141.139999,140.220001,140.550003,126.379539,4837642
2018-01-05,140.690002,141.820007,140.281006,141.710007,127.422630,6158754
2018-01-08,141.699997,142.000000,140.919998,141.889999,127.584427,5129798
2018-01-09,142.369995,145.679993,142.259995,144.139999,129.607605,8897002
2018-01-10,143.550003,144.154999,143.320007,143.970001,129.454727,6558622
2018-01-11,144.130005,144.899994,143.690002,144.789993,130.192032,4962160
2018-01-12,144.990005,146.419998,144.899994,145.759995,131.064240,5450570
